 ATC code,Name,DDD,U,Adm.R,Note,href
G03FA06,etynodiol and estrogen,,,,,https://www.whocc.no/atc_ddd_index/?code=G03FA&showdescription=no
G03FA07,lynestrenol and estrogen,,,,,https://www.whocc.no/atc_ddd_index/?code=G03FA&showdescription=no
G03FA08,megestrol and estrogen,,,,,https://www.whocc.no/atc_ddd_index/?code=G03FA&showdescription=no
G03FA09,noretynodrel and estrogen,,,,,https://www.whocc.no/atc_ddd_index/?code=G03FA&showdescription=no
G03FA10,norgestrel and estrogen,,,,,https://www.whocc.no/atc_ddd_index/?code=G03FA&showdescription=no
G03FA11,levonorgestrel and estrogen,,,,,https://www.whocc.no/atc_ddd_index/?code=G03FA&showdescription=no
G03FA12,medroxyprogesterone and estrogen,,,,,https://www.whocc.no/atc_ddd_index/?code=G03FA&showdescription=no
G03FA13,norgestimate and estrogen,,,,,https://www.whocc.no/atc_ddd_index/?code=G03FA&showdescription=no
G03FA14,dydrogesterone and estrogen,,,,,https://www.whocc.no/atc_ddd_index/?code=G03FA&showdescription=no
G03FA15,dienogest and estrogen,,,,,https://www.whocc.no/atc_ddd_index/?code=G03FA&showdescription=no
G03FA16,trimegestone and estrogen,,,,,https://www.whocc.no/atc_ddd_index/?code=G03FA&showdescription=no
G03FA17,drospirenone and estrogen,,,,,https://www.whocc.no/atc_ddd_index/?code=G03FA&showdescription=no
G03FB01,norgestrel and estrogen,,,,,https://www.whocc.no/atc_ddd_index/?code=G03FB&showdescription=no
G03FB02,lynestrenol and estrogen,,,,,https://www.whocc.no/atc_ddd_index/?code=G03FB&showdescription=no
G03FB03,chlormadinone and estrogen,,,,,https://www.whocc.no/atc_ddd_index/?code=G03FB&showdescription=no
G03FB04,megestrol and estrogen,,,,,https://www.whocc.no/atc_ddd_index/?code=G03FB&showdescription=no
G03FB05,norethisterone and estrogen,,,,,https://www.whocc.no/atc_ddd_index/?code=G03FB&showdescription=no
G03FB06,medroxyprogesterone and estrogen,,,,,https://www.whocc.no/atc_ddd_index/?code=G03FB&showdescription=no
G03FB07,medrogestone and estrogen,,,,,https://www.whocc.no/atc_ddd_index/?code=G03FB&showdescription=no
G03FB08,dydrogesterone and estrogen,,,,,https://www.whocc.no/atc_ddd_index/?code=G03FB&showdescription=no
G03FB09,levonorgestrel and estrogen,,,,,https://www.whocc.no/atc_ddd_index/?code=G03FB&showdescription=no
G03FB10,desogestrel and estrogen,,,,,https://www.whocc.no/atc_ddd_index/?code=G03FB&showdescription=no
G03FB11,trimegestone and estrogen,,,,,https://www.whocc.no/atc_ddd_index/?code=G03FB&showdescription=no
G03FB12,nomegestrol and estrogen,,,,,https://www.whocc.no/atc_ddd_index/?code=G03FB&showdescription=no
G03GA01,chorionic gonadotrophin,250,U,P,,https://www.whocc.no/atc_ddd_index/?code=G03GA&showdescription=no
G03GA02,human menopausal gonadotrophin,75,U,P,,https://www.whocc.no/atc_ddd_index/?code=G03GA&showdescription=no
G03GA03,serum gonadotrophin,750,U,P,,https://www.whocc.no/atc_ddd_index/?code=G03GA&showdescription=no
G03GA04,urofollitropin,75,U,P,,https://www.whocc.no/atc_ddd_index/?code=G03GA&showdescription=no
G03GA05,follitropin alfa,75,U,P,,https://www.whocc.no/atc_ddd_index/?code=G03GA&showdescription=no
G03GA06,follitropin beta,75,U,P,,https://www.whocc.no/atc_ddd_index/?code=G03GA&showdescription=no
G03GA07,lutropin alfa,75,U,P,,https://www.whocc.no/atc_ddd_index/?code=G03GA&showdescription=no
G03GA08,choriogonadotropin alfa,0.25,mg,P,,https://www.whocc.no/atc_ddd_index/?code=G03GA&showdescription=no
G03GA09,corifollitropin alfa,0.15,mg,P,,https://www.whocc.no/atc_ddd_index/?code=G03GA&showdescription=no
G03GA10,follitropin delta,12,mcg,P,,https://www.whocc.no/atc_ddd_index/?code=G03GA&showdescription=no
G03GA30,combinations,,,,,https://www.whocc.no/atc_ddd_index/?code=G03GA&showdescription=no
G03GB01,cyclofenil,0.14,g,O,,https://www.whocc.no/atc_ddd_index/?code=G03GB&showdescription=no
G03GB02,clomifene,9,mg,O,,https://www.whocc.no/atc_ddd_index/?code=G03GB&showdescription=no
G03GB03,epimestrol,10,mg,O,,https://www.whocc.no/atc_ddd_index/?code=G03GB&showdescription=no
G03HA01,cyproterone,0.1,g,O,,https://www.whocc.no/atc_ddd_index/?code=G03HA&showdescription=no
G03HA01,,0.1,g,P,,https://www.whocc.no/atc_ddd_index/?code=G03HA&showdescription=no
G03HB01,cyproterone and estrogen,,,,,https://www.whocc.no/atc_ddd_index/?code=G03HB&showdescription=no
G03XA01,danazol,0.6,g,O,,https://www.whocc.no/atc_ddd_index/?code=G03XA&showdescription=no
G03XA02,gestrinone,0.7,mg,O,,https://www.whocc.no/atc_ddd_index/?code=G03XA&showdescription=no
G03XB01,mifepristone,0.2,g,O,,https://www.whocc.no/atc_ddd_index/?code=G03XB&showdescription=no
G03XB02,ulipristal,5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=G03XB&showdescription=no
G03XB51,"mifepristone, combinations",0.2,g,O,Refers to mifepristone,https://www.whocc.no/atc_ddd_index/?code=G03XB&showdescription=no
G03XC01,raloxifene,60,mg,O,,https://www.whocc.no/atc_ddd_index/?code=G03XC&showdescription=no
G03XC02,bazedoxifene,20,mg,O,,https://www.whocc.no/atc_ddd_index/?code=G03XC&showdescription=no
G03XC03,lasofoxifene,0.5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=G03XC&showdescription=no
G03XC04,ormeloxifene,,,,,https://www.whocc.no/atc_ddd_index/?code=G03XC&showdescription=no
G03XC05,ospemifene,,,,,https://www.whocc.no/atc_ddd_index/?code=G03XC&showdescription=no
G03XX01,prasterone,6.5,mg,V,,https://www.whocc.no/atc_ddd_index/?code=G03XX&showdescription=no
G04BA01,ammonium chloride,8.5,g,O,,https://www.whocc.no/atc_ddd_index/?code=G04BA&showdescription=no
G04BA03,calcium chloride,,,,,https://www.whocc.no/atc_ddd_index/?code=G04BA&showdescription=no
G04BD01,emepronium,0.5,g,O,,https://www.whocc.no/atc_ddd_index/?code=G04BD&showdescription=no
G04BD01,,75,mg,P,,https://www.whocc.no/atc_ddd_index/?code=G04BD&showdescription=no
G04BD02,flavoxate,0.8,g,O,,https://www.whocc.no/atc_ddd_index/?code=G04BD&showdescription=no
G04BD03,meladrazine,0.45,g,O,,https://www.whocc.no/atc_ddd_index/?code=G04BD&showdescription=no
G04BD04,oxybutynin,15,mg,O,,https://www.whocc.no/atc_ddd_index/?code=G04BD&showdescription=no
G04BD04,,3.9,mg,TD,,https://www.whocc.no/atc_ddd_index/?code=G04BD&showdescription=no
G04BD05,terodiline,50,mg,O,,https://www.whocc.no/atc_ddd_index/?code=G04BD&showdescription=no
G04BD06,propiverine,30,mg,O,,https://www.whocc.no/atc_ddd_index/?code=G04BD&showdescription=no
G04BD07,tolterodine,4,mg,O,,https://www.whocc.no/atc_ddd_index/?code=G04BD&showdescription=no
G04BD08,solifenacin,5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=G04BD&showdescription=no
G04BD09,trospium,40,mg,O,,https://www.whocc.no/atc_ddd_index/?code=G04BD&showdescription=no
G04BD10,darifenacin,7.5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=G04BD&showdescription=no
G04BD11,fesoterodine,4,mg,O,,https://www.whocc.no/atc_ddd_index/?code=G04BD&showdescription=no
G04BD12,mirabegron,50,mg,O,,https://www.whocc.no/atc_ddd_index/?code=G04BD&showdescription=no
G04BD13,desfesoterodine,3.5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=G04BD&showdescription=no
G04BD14,imidafenacin,,,,,https://www.whocc.no/atc_ddd_index/?code=G04BD&showdescription=no
G04BE01,alprostadil,20,mcg,P,,https://www.whocc.no/atc_ddd_index/?code=G04BE&showdescription=no
G04BE01,,0.25,mg,urethral,,https://www.whocc.no/atc_ddd_index/?code=G04BE&showdescription=no
G04BE02,papaverine,,,,,https://www.whocc.no/atc_ddd_index/?code=G04BE&showdescription=no
G04BE03,sildenafil,50,mg,O,,https://www.whocc.no/atc_ddd_index/?code=G04BE&showdescription=no
G04BE04,yohimbine,15,mg,O,,https://www.whocc.no/atc_ddd_index/?code=G04BE&showdescription=no
G04BE06,moxisylyte,,,,,https://www.whocc.no/atc_ddd_index/?code=G04BE&showdescription=no
G04BE07,apomorphine,2,mg,SL,,https://www.whocc.no/atc_ddd_index/?code=G04BE&showdescription=no
G04BE08,tadalafil,10,mg,O,,https://www.whocc.no/atc_ddd_index/?code=G04BE&showdescription=no
G04BE09,vardenafil,10,mg,O,,https://www.whocc.no/atc_ddd_index/?code=G04BE&showdescription=no
G04BE10,avanafil,0.1,g,O,,https://www.whocc.no/atc_ddd_index/?code=G04BE&showdescription=no
G04BE11,udenafil,,,,,https://www.whocc.no/atc_ddd_index/?code=G04BE&showdescription=no
G04BE30,combinations,,,,,https://www.whocc.no/atc_ddd_index/?code=G04BE&showdescription=no
G04BE52,"papaverine, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=G04BE&showdescription=no
G04BX01,magnesium hydroxide,0.5,g,O,,https://www.whocc.no/atc_ddd_index/?code=G04BX&showdescription=no
G04BX03,acetohydroxamic acid,0.75,g,O,,https://www.whocc.no/atc_ddd_index/?code=G04BX&showdescription=no
G04BX06,phenazopyridine,0.6,g,O,,https://www.whocc.no/atc_ddd_index/?code=G04BX&showdescription=no
G04BX10,succinimide,,,,,https://www.whocc.no/atc_ddd_index/?code=G04BX&showdescription=no
G04BX11,collagen,,,,,https://www.whocc.no/atc_ddd_index/?code=G04BX&showdescription=no
G04BX12,phenyl salicylate,2,g,O,,https://www.whocc.no/atc_ddd_index/?code=G04BX&showdescription=no
G04BX13,dimethyl sulfoxide,,,,,https://www.whocc.no/atc_ddd_index/?code=G04BX&showdescription=no
G04BX14,dapoxetine,30,mg,O,,https://www.whocc.no/atc_ddd_index/?code=G04BX&showdescription=no
G04BX15,pentosan polysulfate sodium,0.3,g,O,,https://www.whocc.no/atc_ddd_index/?code=G04BX&showdescription=no
G04BX16,tiopronin,0.8,g,O,,https://www.whocc.no/atc_ddd_index/?code=G04BX&showdescription=no
G04CA01,alfuzosin,7.5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=G04CA&showdescription=no
G04CA02,tamsulosin,0.4,mg,O,,https://www.whocc.no/atc_ddd_index/?code=G04CA&showdescription=no
G04CA03,terazosin,5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=G04CA&showdescription=no
G04CA04,silodosin,8,mg,O,,https://www.whocc.no/atc_ddd_index/?code=G04CA&showdescription=no
G04CA51,alfuzosin and finasteride,,,,,https://www.whocc.no/atc_ddd_index/?code=G04CA&showdescription=no
G04CA52,tamsulosin and dutasteride,,,,,https://www.whocc.no/atc_ddd_index/?code=G04CA&showdescription=no
G04CA53,tamsulosin and solifenacin,,,,,https://www.whocc.no/atc_ddd_index/?code=G04CA&showdescription=no
G04CA54,tamsulosin and tadalafil,,,,,https://www.whocc.no/atc_ddd_index/?code=G04CA&showdescription=no
G04CA55,doxazosin and finasteride,,,,,https://www.whocc.no/atc_ddd_index/?code=G04CA&showdescription=no
G04CB01,finasteride,5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=G04CB&showdescription=no
G04CB02,dutasteride,0.5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=G04CB&showdescription=no
G04CB51,finasteride and tadalafil,,,,,https://www.whocc.no/atc_ddd_index/?code=G04CB&showdescription=no
G04CX01,Prunus africanae cortex,,,,,https://www.whocc.no/atc_ddd_index/?code=G04CX&showdescription=no
G04CX02,Sabalis serrulatae fructus,,,,,https://www.whocc.no/atc_ddd_index/?code=G04CX&showdescription=no
G04CX03,mepartricin,,,,,https://www.whocc.no/atc_ddd_index/?code=G04CX&showdescription=no
G04CX04,fexapotide,,,,,https://www.whocc.no/atc_ddd_index/?code=G04CX&showdescription=no
H01AA01,corticotropin,25,U,P,,https://www.whocc.no/atc_ddd_index/?code=H01AA&showdescription=no
H01AA02,tetracosactide,0.25,mg,P,,https://www.whocc.no/atc_ddd_index/?code=H01AA&showdescription=no
H01AB01,thyrotropin alfa,0.9,mg,P,,https://www.whocc.no/atc_ddd_index/?code=H01AB&showdescription=no
H01AC01,somatropin,2,U,P,,https://www.whocc.no/atc_ddd_index/?code=H01AC&showdescription=no
H01AC02,somatrem,,,,,https://www.whocc.no/atc_ddd_index/?code=H01AC&showdescription=no
H01AC03,mecasermin,2,mg,P,,https://www.whocc.no/atc_ddd_index/?code=H01AC&showdescription=no
H01AC04,sermorelin,,,,,https://www.whocc.no/atc_ddd_index/?code=H01AC&showdescription=no
H01AC05,mecasermin rinfabate,,,,,https://www.whocc.no/atc_ddd_index/?code=H01AC&showdescription=no
H01AC06,tesamorelin,,,,,https://www.whocc.no/atc_ddd_index/?code=H01AC&showdescription=no
H01AC07,somapacitan,,,,,https://www.whocc.no/atc_ddd_index/?code=H01AC&showdescription=no
H01AC08,somatrogon,,,,,https://www.whocc.no/atc_ddd_index/?code=H01AC&showdescription=no
H01AC09,lonapegsomatropin,,,,,https://www.whocc.no/atc_ddd_index/?code=H01AC&showdescription=no
H01AX01,pegvisomant,10,mg,P,,https://www.whocc.no/atc_ddd_index/?code=H01AX&showdescription=no
H01BA01,vasopressin (argipressin),40,U,P,,https://www.whocc.no/atc_ddd_index/?code=H01BA&showdescription=no
H01BA02,desmopressin,25,mcg,N,,https://www.whocc.no/atc_ddd_index/?code=H01BA&showdescription=no
H01BA02,,0.4,mg,O,,https://www.whocc.no/atc_ddd_index/?code=H01BA&showdescription=no
H01BA02,,4,mcg,P,,https://www.whocc.no/atc_ddd_index/?code=H01BA&showdescription=no
H01BA02,,0.24,mg,SL,base,https://www.whocc.no/atc_ddd_index/?code=H01BA&showdescription=no
H01BA03,lypressin,20,U,N,,https://www.whocc.no/atc_ddd_index/?code=H01BA&showdescription=no
H01BA03,,20,U,P,,https://www.whocc.no/atc_ddd_index/?code=H01BA&showdescription=no
H01BA04,terlipressin,12,mg,P,,https://www.whocc.no/atc_ddd_index/?code=H01BA&showdescription=no
H01BA05,ornipressin,5,U,P,,https://www.whocc.no/atc_ddd_index/?code=H01BA&showdescription=no
H01BB01,demoxytocin,100,U,O,,https://www.whocc.no/atc_ddd_index/?code=H01BB&showdescription=no
H01BB02,oxytocin,15,U,N,,https://www.whocc.no/atc_ddd_index/?code=H01BB&showdescription=no
H01BB02,,200,U,O,,https://www.whocc.no/atc_ddd_index/?code=H01BB&showdescription=no
H01BB02,,15,U,P,,https://www.whocc.no/atc_ddd_index/?code=H01BB&showdescription=no
H01BB03,carbetocin,0.1,mg,P,,https://www.whocc.no/atc_ddd_index/?code=H01BB&showdescription=no
H01CA01,gonadorelin,,,,,https://www.whocc.no/atc_ddd_index/?code=H01CA&showdescription=no
H01CA02,nafarelin,0.4,mg,N,,https://www.whocc.no/atc_ddd_index/?code=H01CA&showdescription=no
H01CB01,somatostatin,6,mg,P,,https://www.whocc.no/atc_ddd_index/?code=H01CB&showdescription=no
H01CB02,octreotide,0.7,mg,P,,https://www.whocc.no/atc_ddd_index/?code=H01CB&showdescription=no
H01CB03,lanreotide,3,mg,P,,https://www.whocc.no/atc_ddd_index/?code=H01CB&showdescription=no
H01CB04,vapreotide,,,,,https://www.whocc.no/atc_ddd_index/?code=H01CB&showdescription=no
H01CB05,pasireotide,1.2,mg,P,,https://www.whocc.no/atc_ddd_index/?code=H01CB&showdescription=no
H01CC01,ganirelix,0.25,mg,P,,https://www.whocc.no/atc_ddd_index/?code=H01CC&showdescription=no
H01CC02,cetrorelix,0.25,mg,P,,https://www.whocc.no/atc_ddd_index/?code=H01CC&showdescription=no
H01CC03,elagolix,,,,,https://www.whocc.no/atc_ddd_index/?code=H01CC&showdescription=no
H01CC04,linzagolix,,,,,https://www.whocc.no/atc_ddd_index/?code=H01CC&showdescription=no
H01CC53,"elagolix, estradiol and norethisterone",,,,,https://www.whocc.no/atc_ddd_index/?code=H01CC&showdescription=no
H01CC54,"relugolix, estradiol and norethisterone",,,,,https://www.whocc.no/atc_ddd_index/?code=H01CC&showdescription=no
H02AA01,aldosterone,,,,,https://www.whocc.no/atc_ddd_index/?code=H02AA&showdescription=no
H02AA02,fludrocortisone,0.1,mg,O,,https://www.whocc.no/atc_ddd_index/?code=H02AA&showdescription=no
H02AA03,desoxycortone,5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=H02AA&showdescription=no
H02AA03,,5,mg,P,,https://www.whocc.no/atc_ddd_index/?code=H02AA&showdescription=no
H02AB01,betamethasone,1.5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=H02AB&showdescription=no
H02AB01,,1.5,mg,P,,https://www.whocc.no/atc_ddd_index/?code=H02AB&showdescription=no
H02AB01,,0.4,mg,P,depot,https://www.whocc.no/atc_ddd_index/?code=H02AB&showdescription=no
H02AB02,dexamethasone,1.5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=H02AB&showdescription=no
H02AB02,,1.5,mg,P,,https://www.whocc.no/atc_ddd_index/?code=H02AB&showdescription=no
H02AB03,fluocortolone,10,mg,O,,https://www.whocc.no/atc_ddd_index/?code=H02AB&showdescription=no
H02AB04,methylprednisolone,7.5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=H02AB&showdescription=no
H02AB04,,20,mg,P,,https://www.whocc.no/atc_ddd_index/?code=H02AB&showdescription=no
H02AB05,paramethasone,4,mg,O,,https://www.whocc.no/atc_ddd_index/?code=H02AB&showdescription=no
H02AB05,,4,mg,P,,https://www.whocc.no/atc_ddd_index/?code=H02AB&showdescription=no
H02AB06,prednisolone,10,mg,O,,https://www.whocc.no/atc_ddd_index/?code=H02AB&showdescription=no
H02AB06,,10,mg,P,,https://www.whocc.no/atc_ddd_index/?code=H02AB&showdescription=no
H02AB07,prednisone,10,mg,O,,https://www.whocc.no/atc_ddd_index/?code=H02AB&showdescription=no
H02AB08,triamcinolone,7.5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=H02AB&showdescription=no
H02AB08,,7.5,mg,P,,https://www.whocc.no/atc_ddd_index/?code=H02AB&showdescription=no
H02AB09,hydrocortisone,30,mg,O,,https://www.whocc.no/atc_ddd_index/?code=H02AB&showdescription=no
H02AB09,,30,mg,P,,https://www.whocc.no/atc_ddd_index/?code=H02AB&showdescription=no
H02AB10,cortisone,37.5,mg,O,,https://www.whocc.no/atc_ddd_index/?code=H02AB&showdescription=no
H02AB10,,37.5,mg,P,,https://www.whocc.no/atc_ddd_index/?code=H02AB&showdescription=no
H02AB11,prednylidene,12,mg,O,,https://www.whocc.no/atc_ddd_index/?code=H02AB&showdescription=no
H02AB12,rimexolone,20,mg,P,intraarticular,https://www.whocc.no/atc_ddd_index/?code=H02AB&showdescription=no
H02AB13,deflazacort,15,mg,O,,https://www.whocc.no/atc_ddd_index/?code=H02AB&showdescription=no
H02AB14,cloprednol,,,,,https://www.whocc.no/atc_ddd_index/?code=H02AB&showdescription=no
H02AB15,meprednisone,,,,,https://www.whocc.no/atc_ddd_index/?code=H02AB&showdescription=no
H02AB17,cortivazol,,,,,https://www.whocc.no/atc_ddd_index/?code=H02AB&showdescription=no
H02BX01,"methylprednisolone, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=H02BX&showdescription=no
H02CA01,trilostane,0.36,g,O,,https://www.whocc.no/atc_ddd_index/?code=H02CA&showdescription=no
H02CA02,osilodrostat,,,,,https://www.whocc.no/atc_ddd_index/?code=H02CA&showdescription=no
H02CA03,ketoconazole,0.6,g,O,,https://www.whocc.no/atc_ddd_index/?code=H02CA&showdescription=no
H02CA04,levoketoconazole,,,,,https://www.whocc.no/atc_ddd_index/?code=H02CA&showdescription=no
H03AA01,levothyroxine sodium,0.15,mg,O,,https://www.whocc.no/atc_ddd_index/?code=H03AA&showdescription=no
H03AA01,,0.15,mg,P,,https://www.whocc.no/atc_ddd_index/?code=H03AA&showdescription=no
H03AA02,liothyronine sodium,60,mcg,O,,https://www.whocc.no/atc_ddd_index/?code=H03AA&showdescription=no
H03AA02,,60,mcg,P,,https://www.whocc.no/atc_ddd_index/?code=H03AA&showdescription=no
H03AA03,combinations of levothyroxine and liothyronine,,,,,https://www.whocc.no/atc_ddd_index/?code=H03AA&showdescription=no
H03AA04,tiratricol,,,,,https://www.whocc.no/atc_ddd_index/?code=H03AA&showdescription=no
H03AA05,thyroid gland preparations,0.1,g,O,,https://www.whocc.no/atc_ddd_index/?code=H03AA&showdescription=no
H03AA51,levothyroxine sodium and iodine compounds,,,,,https://www.whocc.no/atc_ddd_index/?code=H03AA&showdescription=no
H03BA01,methylthiouracil,0.1,g,O,,https://www.whocc.no/atc_ddd_index/?code=H03BA&showdescription=no
H03BA02,propylthiouracil,0.1,g,O,,https://www.whocc.no/atc_ddd_index/?code=H03BA&showdescription=no
H03BA03,benzylthiouracil,,,,,https://www.whocc.no/atc_ddd_index/?code=H03BA&showdescription=no
H03BB01,carbimazole,15,mg,O,,https://www.whocc.no/atc_ddd_index/?code=H03BB&showdescription=no
H03BB02,thiamazole,10,mg,O,,https://www.whocc.no/atc_ddd_index/?code=H03BB&showdescription=no
H03BB52,"thiamazole, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=H03BB&showdescription=no
H03BC01,potassium perchlorate,,,,,https://www.whocc.no/atc_ddd_index/?code=H03BC&showdescription=no
H03BX01,diiodotyrosine,,,,,https://www.whocc.no/atc_ddd_index/?code=H03BX&showdescription=no
H03BX02,dibromotyrosine,,,,,https://www.whocc.no/atc_ddd_index/?code=H03BX&showdescription=no
H04AA01,glucagon,3,mg,N,,https://www.whocc.no/atc_ddd_index/?code=H04AA&showdescription=no
H04AA01,,1,mg,P,,https://www.whocc.no/atc_ddd_index/?code=H04AA&showdescription=no
H04AA02,dasiglucagon,,,,,https://www.whocc.no/atc_ddd_index/?code=H04AA&showdescription=no
H05AA01,parathyroid gland extract,,,,,https://www.whocc.no/atc_ddd_index/?code=H05AA&showdescription=no
H05AA02,teriparatide,20,mcg,P,,https://www.whocc.no/atc_ddd_index/?code=H05AA&showdescription=no
H05AA03,parathyroid hormone,0.1,mg,P,,https://www.whocc.no/atc_ddd_index/?code=H05AA&showdescription=no
H05AA04,abaloparatide,,,,,https://www.whocc.no/atc_ddd_index/?code=H05AA&showdescription=no
H05BA01,calcitonin (salmon synthetic),200,U,N,,https://www.whocc.no/atc_ddd_index/?code=H05BA&showdescription=no
H05BA01,,100,U,P,,https://www.whocc.no/atc_ddd_index/?code=H05BA&showdescription=no
H05BA02,calcitonin (pork natural),100,U,P,,https://www.whocc.no/atc_ddd_index/?code=H05BA&showdescription=no
H05BA03,calcitonin (human synthetic),100,U,P,,https://www.whocc.no/atc_ddd_index/?code=H05BA&showdescription=no
H05BA04,elcatonin,,,,,https://www.whocc.no/atc_ddd_index/?code=H05BA&showdescription=no
H05BX01,cinacalcet,60,mg,O,,https://www.whocc.no/atc_ddd_index/?code=H05BX&showdescription=no
H05BX02,paricalcitol,2,mcg,O,,https://www.whocc.no/atc_ddd_index/?code=H05BX&showdescription=no
H05BX02,,2,mcg,P,,https://www.whocc.no/atc_ddd_index/?code=H05BX&showdescription=no
H05BX03,doxercalciferol,,,,,https://www.whocc.no/atc_ddd_index/?code=H05BX&showdescription=no
H05BX04,etelcalcetide,2.1,mg,P,,https://www.whocc.no/atc_ddd_index/?code=H05BX&showdescription=no
H05BX05,calcifediol,30,mcg,O,,https://www.whocc.no/atc_ddd_index/?code=H05BX&showdescription=no
J01AA01,demeclocycline,0.6,g,O,,https://www.whocc.no/atc_ddd_index/?code=J01AA&showdescription=no
J01AA02,doxycycline,0.1,g,O,,https://www.whocc.no/atc_ddd_index/?code=J01AA&showdescription=no
J01AA02,,0.1,g,P,,https://www.whocc.no/atc_ddd_index/?code=J01AA&showdescription=no
J01AA03,chlortetracycline,1,g,O,,https://www.whocc.no/atc_ddd_index/?code=J01AA&showdescription=no
J01AA04,lymecycline,0.6,g,O,,https://www.whocc.no/atc_ddd_index/?code=J01AA&showdescription=no
J01AA04,,0.6,g,P,,https://www.whocc.no/atc_ddd_index/?code=J01AA&showdescription=no
J01AA05,metacycline,0.6,g,O,,https://www.whocc.no/atc_ddd_index/?code=J01AA&showdescription=no
J01AA06,oxytetracycline,1,g,O,,https://www.whocc.no/atc_ddd_index/?code=J01AA&showdescription=no
J01AA06,,1,g,P,,https://www.whocc.no/atc_ddd_index/?code=J01AA&showdescription=no
J01AA07,tetracycline,1,g,O,,https://www.whocc.no/atc_ddd_index/?code=J01AA&showdescription=no
J01AA07,,1,g,P,,https://www.whocc.no/atc_ddd_index/?code=J01AA&showdescription=no
J01AA08,minocycline,0.2,g,O,,https://www.whocc.no/atc_ddd_index/?code=J01AA&showdescription=no
J01AA08,,0.2,g,P,,https://www.whocc.no/atc_ddd_index/?code=J01AA&showdescription=no
J01AA09,rolitetracycline,0.35,g,P,,https://www.whocc.no/atc_ddd_index/?code=J01AA&showdescription=no
J01AA10,penimepicycline,,,,,https://www.whocc.no/atc_ddd_index/?code=J01AA&showdescription=no
J01AA11,clomocycline,1,g,O,,https://www.whocc.no/atc_ddd_index/?code=J01AA&showdescription=no
J01AA12,tigecycline,0.1,g,P,,https://www.whocc.no/atc_ddd_index/?code=J01AA&showdescription=no
J01AA13,eravacycline,,,,,https://www.whocc.no/atc_ddd_index/?code=J01AA&showdescription=no
J01AA14,sarecycline,0.1,g,O,,https://www.whocc.no/atc_ddd_index/?code=J01AA&showdescription=no
J01AA15,omadacycline,0.3,g,O,,https://www.whocc.no/atc_ddd_index/?code=J01AA&showdescription=no
J01AA15,,0.1,g,P,,https://www.whocc.no/atc_ddd_index/?code=J01AA&showdescription=no
J01AA20,combinations of tetracyclines,,,,,https://www.whocc.no/atc_ddd_index/?code=J01AA&showdescription=no
J01AA56,"oxytetracycline, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=J01AA&showdescription=no
J01BA01,chloramphenicol,3,g,O,,https://www.whocc.no/atc_ddd_index/?code=J01BA&showdescription=no
J01BA01,,3,g,P,,https://www.whocc.no/atc_ddd_index/?code=J01BA&showdescription=no
J01BA02,thiamphenicol,1.5,g,O,,https://www.whocc.no/atc_ddd_index/?code=J01BA&showdescription=no
J01BA02,,1.5,g,P,,https://www.whocc.no/atc_ddd_index/?code=J01BA&showdescription=no
J01BA52,"thiamphenicol, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=J01BA&showdescription=no
J01CA01,ampicillin,2,g,O,,https://www.whocc.no/atc_ddd_index/?code=J01CA&showdescription=no
J01CA01,,6,g,P,,https://www.whocc.no/atc_ddd_index/?code=J01CA&showdescription=no
J01CA01,,2,g,R,,https://www.whocc.no/atc_ddd_index/?code=J01CA&showdescription=no
J01CA02,pivampicillin,1.05,g,O,,https://www.whocc.no/atc_ddd_index/?code=J01CA&showdescription=no
J01CA03,carbenicillin,12,g,P,,https://www.whocc.no/atc_ddd_index/?code=J01CA&showdescription=no
J01CA04,amoxicillin,1.5,g,O,,https://www.whocc.no/atc_ddd_index/?code=J01CA&showdescription=no
J01CA04,,3,g,P,,https://www.whocc.no/atc_ddd_index/?code=J01CA&showdescription=no
J01CA05,carindacillin,4,g,O,,https://www.whocc.no/atc_ddd_index/?code=J01CA&showdescription=no
J01CA06,bacampicillin,1.2,g,O,,https://www.whocc.no/atc_ddd_index/?code=J01CA&showdescription=no
J01CA07,epicillin,2,g,O,,https://www.whocc.no/atc_ddd_index/?code=J01CA&showdescription=no
J01CA07,,2,g,P,,https://www.whocc.no/atc_ddd_index/?code=J01CA&showdescription=no
J01CA08,pivmecillinam,0.6,g,O,,https://www.whocc.no/atc_ddd_index/?code=J01CA&showdescription=no
